entity_id,entity_type,name,description,temperature_max,strength,conductivity,ph,salinity,source
sim-0040,simulation,NIST thermodynamic reference case 0040,NIST thermodynamic reference case; thermal expansion under desert-day swing. Thermal service window up to 583.51 C with modeled conductivity 73.335 and structural response 1169.18.,583.51,1169.18,73.335,,,NIST thermodynamic reference case
sim-0041,simulation,NIST thermodynamic reference case 0041,NIST thermodynamic reference case; high-temperature flow around coated surface. Thermal service window up to 708.85 C with modeled conductivity 104.466 and structural response 76.13.,708.85,76.13,104.466,,,NIST thermodynamic reference case
sim-0042,simulation,OpenFOAM CFD thermal shock case 0042,OpenFOAM CFD thermal shock case; high-temperature flow around coated surface. Thermal service window up to 873.35 C with modeled conductivity 3.456 and structural response 1057.11.,873.35,1057.11,3.456,,,OpenFOAM CFD thermal shock case
sim-0043,simulation,FEA structural heat-load surrogate 0043,FEA structural heat-load surrogate; heat flux and structural resilience benchmark. Thermal service window up to 353.17 C with modeled conductivity 177.242 and structural response 894.57.,353.17,894.57,177.242,,,FEA structural heat-load surrogate
sim-0044,simulation,NIST thermodynamic reference case 0044,NIST thermodynamic reference case; thermal expansion under desert-day swing. Thermal service window up to 606.99 C with modeled conductivity 63.236 and structural response 437.22.,606.99,437.22,63.236,,,NIST thermodynamic reference case
sim-0045,simulation,NIST thermodynamic reference case 0045,NIST thermodynamic reference case; vacuum and radiation facing material screen. Thermal service window up to 953.06 C with modeled conductivity 72.6 and structural response 429.89.,953.06,429.89,72.6,,,NIST thermodynamic reference case
sim-0046,simulation,NIST thermodynamic reference case 0046,NIST thermodynamic reference case; high-temperature flow around coated surface. Thermal service window up to 474.77 C with modeled conductivity 59.935 and structural response 92.89.,474.77,92.89,59.935,,,NIST thermodynamic reference case
sim-0047,simulation,FEA structural heat-load surrogate 0047,FEA structural heat-load surrogate; high-temperature flow around coated surface. Thermal service window up to 1150.15 C with modeled conductivity 63.771 and structural response 153.92.,1150.15,153.92,63.771,,,FEA structural heat-load surrogate
sim-0048,simulation,OpenFOAM CFD thermal shock case 0048,OpenFOAM CFD thermal shock case; heat flux and structural resilience benchmark. Thermal service window up to 1004.79 C with modeled conductivity 62.079 and structural response 244.95.,1004.79,244.95,62.079,,,OpenFOAM CFD thermal shock case
sim-0049,simulation,FEA structural heat-load surrogate 0049,FEA structural heat-load surrogate; heat flux and structural resilience benchmark. Thermal service window up to 400.56 C with modeled conductivity 2.613 and structural response 953.99.,400.56,953.99,2.613,,,FEA structural heat-load surrogate
sim-0050,simulation,OpenFOAM CFD thermal shock case 0050,OpenFOAM CFD thermal shock case; heat flux and structural resilience benchmark. Thermal service window up to 1253.59 C with modeled conductivity 32.095 and structural response 595.55.,1253.59,595.55,32.095,,,OpenFOAM CFD thermal shock case
sim-0051,simulation,FEA structural heat-load surrogate 0051,FEA structural heat-load surrogate; vacuum and radiation facing material screen. Thermal service window up to 1183.57 C with modeled conductivity 41.458 and structural response 272.52.,1183.57,272.52,41.458,,,FEA structural heat-load surrogate
sim-0052,simulation,NIST thermodynamic reference case 0052,NIST thermodynamic reference case; heat flux and structural resilience benchmark. Thermal service window up to 447.89 C with modeled conductivity 70.344 and structural response 178.19.,447.89,178.19,70.344,,,NIST thermodynamic reference case
sim-0053,simulation,OpenFOAM CFD thermal shock case 0053,OpenFOAM CFD thermal shock case; vacuum and radiation facing material screen. Thermal service window up to 1109.38 C with modeled conductivity 135.358 and structural response 196.06.,1109.38,196.06,135.358,,,OpenFOAM CFD thermal shock case
sim-0054,simulation,OpenFOAM CFD thermal shock case 0054,OpenFOAM CFD thermal shock case; thermal expansion under desert-day swing. Thermal service window up to 429.04 C with modeled conductivity 81.822 and structural response 813.52.,429.04,813.52,81.822,,,OpenFOAM CFD thermal shock case
sim-0055,simulation,NASA extreme materials panel 0055,NASA extreme materials panel; thermal expansion under desert-day swing. Thermal service window up to 408.42 C with modeled conductivity 132.199 and structural response 756.02.,408.42,756.02,132.199,,,NASA extreme materials panel
sim-0056,simulation,NIST thermodynamic reference case 0056,NIST thermodynamic reference case; vacuum and radiation facing material screen. Thermal service window up to 1133.83 C with modeled conductivity 146.309 and structural response 767.65.,1133.83,767.65,146.309,,,NIST thermodynamic reference case
sim-0057,simulation,NASA extreme materials panel 0057,NASA extreme materials panel; heat flux and structural resilience benchmark. Thermal service window up to 562.6 C with modeled conductivity 131.488 and structural response 565.43.,562.6,565.43,131.488,,,NASA extreme materials panel
sim-0058,simulation,FEA structural heat-load surrogate 0058,FEA structural heat-load surrogate; heat flux and structural resilience benchmark. Thermal service window up to 360.8 C with modeled conductivity 14.327 and structural response 832.91.,360.8,832.91,14.327,,,FEA structural heat-load surrogate
sim-0059,simulation,FEA structural heat-load surrogate 0059,FEA structural heat-load surrogate; heat flux and structural resilience benchmark. Thermal service window up to 224.23 C with modeled conductivity 14.457 and structural response 988.93.,224.23,988.93,14.457,,,FEA structural heat-load surrogate
sim-0060,simulation,FEA structural heat-load surrogate 0060,FEA structural heat-load surrogate; high-temperature flow around coated surface. Thermal service window up to 938.74 C with modeled conductivity 21.686 and structural response 891.07.,938.74,891.07,21.686,,,FEA structural heat-load surrogate
sim-0061,simulation,OpenFOAM CFD thermal shock case 0061,OpenFOAM CFD thermal shock case; vacuum and radiation facing material screen. Thermal service window up to 1058.64 C with modeled conductivity 36.262 and structural response 986.36.,1058.64,986.36,36.262,,,OpenFOAM CFD thermal shock case
sim-0062,simulation,OpenFOAM CFD thermal shock case 0062,OpenFOAM CFD thermal shock case; vacuum and radiation facing material screen. Thermal service window up to 971.58 C with modeled conductivity 23.813 and structural response 136.65.,971.58,136.65,23.813,,,OpenFOAM CFD thermal shock case
sim-0063,simulation,OpenFOAM CFD thermal shock case 0063,OpenFOAM CFD thermal shock case; high-temperature flow around coated surface. Thermal service window up to 1033.33 C with modeled conductivity 174.188 and structural response 1160.27.,1033.33,1160.27,174.188,,,OpenFOAM CFD thermal shock case
sim-0064,simulation,NIST thermodynamic reference case 0064,NIST thermodynamic reference case; heat flux and structural resilience benchmark. Thermal service window up to 573.53 C with modeled conductivity 105.727 and structural response 754.31.,573.53,754.31,105.727,,,NIST thermodynamic reference case
sim-0065,simulation,NASA extreme materials panel 0065,NASA extreme materials panel; thermal expansion under desert-day swing. Thermal service window up to 1293.54 C with modeled conductivity 93.138 and structural response 241.34.,1293.54,241.34,93.138,,,NASA extreme materials panel
sim-0066,simulation,NASA extreme materials panel 0066,NASA extreme materials panel; thermal expansion under desert-day swing. Thermal service window up to 335.16 C with modeled conductivity 153.499 and structural response 618.73.,335.16,618.73,153.499,,,NASA extreme materials panel
sim-0067,simulation,NIST thermodynamic reference case 0067,NIST thermodynamic reference case; thermal expansion under desert-day swing. Thermal service window up to 671.57 C with modeled conductivity 160.163 and structural response 186.2.,671.57,186.2,160.163,,,NIST thermodynamic reference case
sim-0068,simulation,OpenFOAM CFD thermal shock case 0068,OpenFOAM CFD thermal shock case; high-temperature flow around coated surface. Thermal service window up to 519.27 C with modeled conductivity 171.094 and structural response 548.84.,519.27,548.84,171.094,,,OpenFOAM CFD thermal shock case
sim-0069,simulation,OpenFOAM CFD thermal shock case 0069,OpenFOAM CFD thermal shock case; vacuum and radiation facing material screen. Thermal service window up to 838.7 C with modeled conductivity 55.475 and structural response 464.46.,838.7,464.46,55.475,,,OpenFOAM CFD thermal shock case
sim-0070,simulation,OpenFOAM CFD thermal shock case 0070,OpenFOAM CFD thermal shock case; thermal expansion under desert-day swing. Thermal service window up to 1438.09 C with modeled conductivity 77.644 and structural response 203.31.,1438.09,203.31,77.644,,,OpenFOAM CFD thermal shock case
sim-0071,simulation,OpenFOAM CFD thermal shock case 0071,OpenFOAM CFD thermal shock case; high-temperature flow around coated surface. Thermal service window up to 308.04 C with modeled conductivity 8.494 and structural response 820.51.,308.04,820.51,8.494,,,OpenFOAM CFD thermal shock case
sim-0072,simulation,NIST thermodynamic reference case 0072,NIST thermodynamic reference case; thermal expansion under desert-day swing. Thermal service window up to 1177.49 C with modeled conductivity 46.698 and structural response 410.46.,1177.49,410.46,46.698,,,NIST thermodynamic reference case
sim-0073,simulation,NASA extreme materials panel 0073,NASA extreme materials panel; vacuum and radiation facing material screen. Thermal service window up to 392.74 C with modeled conductivity 11.615 and structural response 113.34.,392.74,113.34,11.615,,,NASA extreme materials panel
sim-0074,simulation,FEA structural heat-load surrogate 0074,FEA structural heat-load surrogate; high-temperature flow around coated surface. Thermal service window up to 206.37 C with modeled conductivity 160.972 and structural response 1048.06.,206.37,1048.06,160.972,,,FEA structural heat-load surrogate
sim-0075,simulation,OpenFOAM CFD thermal shock case 0075,OpenFOAM CFD thermal shock case; high-temperature flow around coated surface. Thermal service window up to 331.34 C with modeled conductivity 24.05 and structural response 704.49.,331.34,704.49,24.05,,,OpenFOAM CFD thermal shock case
sim-0076,simulation,NASA extreme materials panel 0076,NASA extreme materials panel; heat flux and structural resilience benchmark. Thermal service window up to 166.61 C with modeled conductivity 0.904 and structural response 666.66.,166.61,666.66,0.904,,,NASA extreme materials panel
sim-0077,simulation,OpenFOAM CFD thermal shock case 0077,OpenFOAM CFD thermal shock case; thermal expansion under desert-day swing. Thermal service window up to 242.4 C with modeled conductivity 178.99 and structural response 1082.91.,242.4,1082.91,178.99,,,OpenFOAM CFD thermal shock case
sim-0078,simulation,NIST thermodynamic reference case 0078,NIST thermodynamic reference case; heat flux and structural resilience benchmark. Thermal service window up to 887.04 C with modeled conductivity 152.807 and structural response 1120.41.,887.04,1120.41,152.807,,,NIST thermodynamic reference case
sim-0079,simulation,FEA structural heat-load surrogate 0079,FEA structural heat-load surrogate; vacuum and radiation facing material screen. Thermal service window up to 526.16 C with modeled conductivity 81.315 and structural response 965.75.,526.16,965.75,81.315,,,FEA structural heat-load surrogate
sim-0080,simulation,NIST thermodynamic reference case 0080,NIST thermodynamic reference case; high-temperature flow around coated surface. Thermal service window up to 907.17 C with modeled conductivity 39.591 and structural response 568.33.,907.17,568.33,39.591,,,NIST thermodynamic reference case
sim-0081,simulation,NASA extreme materials panel 0081,NASA extreme materials panel; thermal expansion under desert-day swing. Thermal service window up to 876.63 C with modeled conductivity 69.222 and structural response 919.99.,876.63,919.99,69.222,,,NASA extreme materials panel
sim-0082,simulation,NIST thermodynamic reference case 0082,NIST thermodynamic reference case; heat flux and structural resilience benchmark. Thermal service window up to 546.93 C with modeled conductivity 174.184 and structural response 622.18.,546.93,622.18,174.184,,,NIST thermodynamic reference case
sim-0083,simulation,OpenFOAM CFD thermal shock case 0083,OpenFOAM CFD thermal shock case; heat flux and structural resilience benchmark. Thermal service window up to 191.61 C with modeled conductivity 70.987 and structural response 788.05.,191.61,788.05,70.987,,,OpenFOAM CFD thermal shock case
sim-0084,simulation,FEA structural heat-load surrogate 0084,FEA structural heat-load surrogate; vacuum and radiation facing material screen. Thermal service window up to 472.7 C with modeled conductivity 41.239 and structural response 60.98.,472.7,60.98,41.239,,,FEA structural heat-load surrogate
sim-0085,simulation,NASA extreme materials panel 0085,NASA extreme materials panel; thermal expansion under desert-day swing. Thermal service window up to 793.16 C with modeled conductivity 8.147 and structural response 579.38.,793.16,579.38,8.147,,,NASA extreme materials panel
sim-0086,simulation,NIST thermodynamic reference case 0086,NIST thermodynamic reference case; vacuum and radiation facing material screen. Thermal service window up to 880.02 C with modeled conductivity 69.694 and structural response 814.57.,880.02,814.57,69.694,,,NIST thermodynamic reference case
sim-0087,simulation,NIST thermodynamic reference case 0087,NIST thermodynamic reference case; heat flux and structural resilience benchmark. Thermal service window up to 311.01 C with modeled conductivity 119.022 and structural response 1025.77.,311.01,1025.77,119.022,,,NIST thermodynamic reference case
sim-0088,simulation,FEA structural heat-load surrogate 0088,FEA structural heat-load surrogate; heat flux and structural resilience benchmark. Thermal service window up to 1025.04 C with modeled conductivity 11.673 and structural response 709.14.,1025.04,709.14,11.673,,,FEA structural heat-load surrogate
sim-0089,simulation,NASA extreme materials panel 0089,NASA extreme materials panel; thermal expansion under desert-day swing. Thermal service window up to 649.16 C with modeled conductivity 52.017 and structural response 80.03.,649.16,80.03,52.017,,,NASA extreme materials panel
sim-0090,simulation,NIST thermodynamic reference case 0090,NIST thermodynamic reference case; high-temperature flow around coated surface. Thermal service window up to 666.53 C with modeled conductivity 152.194 and structural response 368.83.,666.53,368.83,152.194,,,NIST thermodynamic reference case
sim-0091,simulation,OpenFOAM CFD thermal shock case 0091,OpenFOAM CFD thermal shock case; high-temperature flow around coated surface. Thermal service window up to 882.32 C with modeled conductivity 36.458 and structural response 1137.21.,882.32,1137.21,36.458,,,OpenFOAM CFD thermal shock case
sim-0092,simulation,NIST thermodynamic reference case 0092,NIST thermodynamic reference case; thermal expansion under desert-day swing. Thermal service window up to 1007.01 C with modeled conductivity 119.488 and structural response 1002.25.,1007.01,1002.25,119.488,,,NIST thermodynamic reference case
sim-0093,simulation,NASA extreme materials panel 0093,NASA extreme materials panel; heat flux and structural resilience benchmark. Thermal service window up to 1216.93 C with modeled conductivity 164.718 and structural response 1143.11.,1216.93,1143.11,164.718,,,NASA extreme materials panel
sim-0094,simulation,OpenFOAM CFD thermal shock case 0094,OpenFOAM CFD thermal shock case; high-temperature flow around coated surface. Thermal service window up to 544.2 C with modeled conductivity 23.337 and structural response 788.42.,544.2,788.42,23.337,,,OpenFOAM CFD thermal shock case
sim-0095,simulation,OpenFOAM CFD thermal shock case 0095,OpenFOAM CFD thermal shock case; high-temperature flow around coated surface. Thermal service window up to 215.47 C with modeled conductivity 40.501 and structural response 530.79.,215.47,530.79,40.501,,,OpenFOAM CFD thermal shock case
sim-0096,simulation,NIST thermodynamic reference case 0096,NIST thermodynamic reference case; vacuum and radiation facing material screen. Thermal service window up to 1014.21 C with modeled conductivity 39.402 and structural response 302.63.,1014.21,302.63,39.402,,,NIST thermodynamic reference case
sim-0097,simulation,NIST thermodynamic reference case 0097,NIST thermodynamic reference case; thermal expansion under desert-day swing. Thermal service window up to 1200.45 C with modeled conductivity 1.833 and structural response 342.13.,1200.45,342.13,1.833,,,NIST thermodynamic reference case
sim-0098,simulation,OpenFOAM CFD thermal shock case 0098,OpenFOAM CFD thermal shock case; thermal expansion under desert-day swing. Thermal service window up to 132.08 C with modeled conductivity 19.746 and structural response 199.94.,132.08,199.94,19.746,,,OpenFOAM CFD thermal shock case
sim-0099,simulation,FEA structural heat-load surrogate 0099,FEA structural heat-load surrogate; heat flux and structural resilience benchmark. Thermal service window up to 1318.94 C with modeled conductivity 118.092 and structural response 53.31.,1318.94,53.31,118.092,,,FEA structural heat-load surrogate
sim-0100,simulation,NASA extreme materials panel 0100,NASA extreme materials panel; high-temperature flow around coated surface. Thermal service window up to 123.57 C with modeled conductivity 81.643 and structural response 214.15.,123.57,214.15,81.643,,,NASA extreme materials panel
sim-0101,simulation,OpenFOAM CFD thermal shock case 0101,OpenFOAM CFD thermal shock case; vacuum and radiation facing material screen. Thermal service window up to 394.52 C with modeled conductivity 40.522 and structural response 554.87.,394.52,554.87,40.522,,,OpenFOAM CFD thermal shock case
sim-0102,simulation,OpenFOAM CFD thermal shock case 0102,OpenFOAM CFD thermal shock case; thermal expansion under desert-day swing. Thermal service window up to 975.15 C with modeled conductivity 1.542 and structural response 371.58.,975.15,371.58,1.542,,,OpenFOAM CFD thermal shock case
sim-0103,simulation,FEA structural heat-load surrogate 0103,FEA structural heat-load surrogate; thermal expansion under desert-day swing. Thermal service window up to 156.53 C with modeled conductivity 94.511 and structural response 205.66.,156.53,205.66,94.511,,,FEA structural heat-load surrogate
sim-0104,simulation,NASA extreme materials panel 0104,NASA extreme materials panel; high-temperature flow around coated surface. Thermal service window up to 461.22 C with modeled conductivity 78.335 and structural response 919.35.,461.22,919.35,78.335,,,NASA extreme materials panel
sim-0105,simulation,NIST thermodynamic reference case 0105,NIST thermodynamic reference case; thermal expansion under desert-day swing. Thermal service window up to 907.94 C with modeled conductivity 60.71 and structural response 59.45.,907.94,59.45,60.71,,,NIST thermodynamic reference case
sim-0106,simulation,NIST thermodynamic reference case 0106,NIST thermodynamic reference case; thermal expansion under desert-day swing. Thermal service window up to 1022.02 C with modeled conductivity 80.148 and structural response 836.51.,1022.02,836.51,80.148,,,NIST thermodynamic reference case
sim-0107,simulation,NIST thermodynamic reference case 0107,NIST thermodynamic reference case; high-temperature flow around coated surface. Thermal service window up to 380.94 C with modeled conductivity 117.09 and structural response 413.54.,380.94,413.54,117.09,,,NIST thermodynamic reference case
sim-0108,simulation,NASA extreme materials panel 0108,NASA extreme materials panel; vacuum and radiation facing material screen. Thermal service window up to 1206.46 C with modeled conductivity 35.064 and structural response 57.67.,1206.46,57.67,35.064,,,NASA extreme materials panel
sim-0109,simulation,OpenFOAM CFD thermal shock case 0109,OpenFOAM CFD thermal shock case; thermal expansion under desert-day swing. Thermal service window up to 1273.01 C with modeled conductivity 76.554 and structural response 330.99.,1273.01,330.99,76.554,,,OpenFOAM CFD thermal shock case
sim-0110,simulation,OpenFOAM CFD thermal shock case 0110,OpenFOAM CFD thermal shock case; high-temperature flow around coated surface. Thermal service window up to 1437.47 C with modeled conductivity 30.972 and structural response 1172.62.,1437.47,1172.62,30.972,,,OpenFOAM CFD thermal shock case
sim-0111,simulation,NASA extreme materials panel 0111,NASA extreme materials panel; vacuum and radiation facing material screen. Thermal service window up to 1424.9 C with modeled conductivity 50.253 and structural response 428.95.,1424.9,428.95,50.253,,,NASA extreme materials panel
sim-0112,simulation,NIST thermodynamic reference case 0112,NIST thermodynamic reference case; high-temperature flow around coated surface. Thermal service window up to 1075.28 C with modeled conductivity 37.517 and structural response 816.54.,1075.28,816.54,37.517,,,NIST thermodynamic reference case
sim-0113,simulation,NIST thermodynamic reference case 0113,NIST thermodynamic reference case; high-temperature flow around coated surface. Thermal service window up to 1188.26 C with modeled conductivity 156.894 and structural response 858.88.,1188.26,858.88,156.894,,,NIST thermodynamic reference case
sim-0114,simulation,NIST thermodynamic reference case 0114,NIST thermodynamic reference case; high-temperature flow around coated surface. Thermal service window up to 931.21 C with modeled conductivity 87.54 and structural response 243.31.,931.21,243.31,87.54,,,NIST thermodynamic reference case
